Year,Month,Day,Achnanthes species,Actinoptychus senarius,Actinoptychus species,Actinoptychus splendens,Amphora species,Asterionellopsis glacialis,Asterionellopsis kariana,Asterolampra marylandica,Asteromphalus heptactis,Asteromphalus hookeri,Asteromphalus species,Aulacodiscus species,Aulacoscira granulata,Bacteriastrum delicatulum,Bacteriastrum elongatum,Bacteriastrum furcatum,Bacteriastrum solitarium,Bacteriastrum species,Biddulphia biddulphiana,Biddulphia sp. 1,Biddulphia sp. 2,Biddulphia species,Cerataulina pelagica,Cerataulina species,Cerataulus species,Chaetoceros aequatorialis,Chaetoceros affinis,Chaetoceros atlanticus,Chaetoceros borealis,Chaetoceros cinctus,Chaetoceros compressus,Chaetoceros concavicornis,Chaetoceros constrictus,Chaetoceros contortus,Chaetoceros convolutus,Chaetoceros costatus,Chaetoceros criophilus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros difficilis,Chaetoceros eibenii,Chaetoceros furcellatus,Chaetoceros gracilis,Chaetoceros holsaticus,Chaetoceros laciniosus,Chaetoceros lorenzianus,Chaetoceros messanensis,Chaetoceros pelagicus,Chaetoceros peruvianus,Chaetoceros pseudocrinitus,Chaetoceros radicans,Chaetoceros similis,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros sp. 1,Chaetoceros species,Chaetoceros teres ,Chaetoceros vanheurckii,Climacosphenia elongata,Climacosphenia species,Cocconeis costata,Cocconeis scutellum,Cocconeis species,Corethron criophilum,Coscinodiscus centralis,Coscinodiscus granii,Coscinodiscus radiatus,Coscinodiscus sp. 1,Coscinodiscus species,Cylindrotheca closterium,Dactyliosolen antarcticus,Dactyliosolen fragilissimus,Dactyliosolen species,Dactyliosolen tenuijunctus,Detonula pumila,Ditylum brightwellii,Ditylum species,Eucampia zodiacus,Eunotia species,Eupodiscus sp. 1,Fragilaria islandica,Fragilaria species,Fragilaria striatula,Fragilariopsis doliolus,Grammatophora marina,Grammatophora species,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Helicotheca tamesis,Hemiaulus hauckii,Hemiaulus sinensis ,Hemiaulus sp. 1,Hemiaulus species,Isthmia nervosa,Isthmia species,Lauderia annulata,Leptocylindrus danicus,Leptocylindrus mediterraneus,Leptocylindrus minimus,Licmophora abbreviata,Licmophora species,Lithodesmium undulatum,Melosira arctica,Melosira dubia,Melosira species,Meuniera membranacea,Navicula species,Neocalyptrella robusta,Nitzschia longissima,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Paralia sulcata ,Planktoniella sol,Pleurosigma species,Proboscia alata,Proboscia indica,Psammodiscus nitidus,Pseudo-nitzschia australis,Pseudo-nitzschia delicatissima,Pseudosolenia calcar-avis,Rhabdonema adriaticum ,Rhabdonema arcuatum,Rhabdonema species,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia sp. 1,Rhizosolenia sp. 2,Rhizosolenia species,Rhizosolenia styliformis,Skeletonema costatum,Stephanopyxis nipponica,Stephanopyxis palmeriana,Stephanopyxis species,Stephanopyxis turris,Striatella unipunctata,Surirella species,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira aestivalis,Thalassiosira anguste-lineata,Thalassiosira bioculata,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira nordenskioeldii,Thalassiosira pacifica,Thalassiosira punctigera,Thalassiosira rotula,Thalassiosira sp. 1,Thalassiosira species,Thalassiosira subtilis,Thalassiothrix longissima,Thalassiothrix sp. 1,Thalassiothrix sp. 2,Thalassiothrix species,Triceratium species,Tropidoneis species
1918 ,2 ,22 ,,,,,,,,,400 ,,,,,,,24000 ,,,,,,,,,,,,,,,,,170000 ,,16000 ,,11000 ,397500 ,,,46000 ,,48000 ,5000 ,,,,,,,,,3000 ,6000 ,,,,,,,44000 ,4000 ,,,,,,,,,,,300 ,2000 ,,9000 ,,,,1000 ,,6000 ,,,,,,,,,,,,400 ,,,,,,,,,26000 ,,,,,900 ,,,,,100 ,500 ,2000 ,3000 ,,,,,,100 ,,,700 ,,,,,,1000 ,,,,,,,,,,,,,,,26000 ,,,,,,4000 ,,,,,,,,,1000 ,,,,,
1918 ,3 ,2 ,,,,,,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,13000 ,20000 ,13000 ,,,44000 ,,,40000 ,,15000 ,3000 ,,,,,,,,,3000 ,1000 ,,,,,,,6000 ,,,,,,,,,,,500 ,100 ,200 ,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,2000 ,,,,,15000 ,,,,,,3000 ,,,,,,,,,800 ,,,,,,14000 ,,,,,,300 ,,,,,,,,,1000 ,1000 ,,,,
1918 ,3 ,13 ,,100 ,,,,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,19000 ,,5000 ,12000 ,,,23000 ,,,,,,,,,,,,,1000 ,,,,,,,,3000 ,,,,,,,,,500 ,300 ,,1000 ,,,,,,,,700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,3000 ,,,,,,,,,2000 ,,,,,,,,,,,,,,,3000 ,,,,,,700 ,,,,,,,,,,,,,,
1918 ,3 ,20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,3 ,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,4 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,4 ,9 ,,,,,,,,,1000 ,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,100 ,,,,,,,,,1000 ,,,,,,,,,,,,,,,6000 ,,,,,,,,,,,,,,,1000 ,,,,,
1918 ,4 ,17 ,,,,,,,,,1000 ,,,,,,,9000 ,,,,,,,,,,,,,,,,,21000 ,,7000 ,,300 ,557500 ,,,3000 ,,22000 ,8000 ,,,,,,,,,,,,,,,,,9000 ,12000 ,,,,,,,,,,300 ,,1000 ,,,,,,,,500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,4 ,24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,5 ,3 ,,,,,,,,,2000 ,,,,,,,,,,,,,,,,,,,,,,,,6000 ,,16000 ,,28000 ,,,,6000 ,86000 ,,,,,,,,,,,,,,,,,,,,56000 ,,,,,,,,,,2000 ,,8000 ,,,,,,,,2000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,600 ,,,,4000 ,,,32000 ,,,,,,2000 ,,,,,,4000 ,,,,,,,,,2200 ,,,,,,600 ,,,,,,,,,2000 ,,,,,
1918 ,5 ,13 ,,,,,,,,,1000 ,,,,,,600 ,8000 ,,,,,,,,,,,49000 ,,,,,,,,3000 ,,,4000 ,,,4000 ,,,,,,600 ,,,,,,4000 ,100 ,,,,,,,3000 ,,,,,,,,,,,1000 ,,1000 ,,4000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 ,,1000 ,,,,,,,,,4000 ,,,,1000 ,,8000 ,1700 ,,,,,,,500 ,5400 ,,,,,,,,,,,,,,,,,,,,
1918 ,5 ,20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,5 ,25 ,,,,,,,,,48000 ,,,,,,,,,,,,,,,,,,,,,,,,,,2060000 ,,4820000 ,,,,,,,,,,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,800 ,,16000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 ,,16000 ,,,,,,,,,,,800 ,,,,8000 ,,,72000 ,,,,,,,,,,,,,,,,,,,,,,,800 ,,,,,
1918 ,6 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,6 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,6 ,14 ,,,,,,,,,400 ,,,,,,44000 ,,,,,,,,,,,,60000 ,,,,,,,3600 ,88000 ,,164000 ,,,,32000 ,,,,,,12000 ,,,,,,16000 ,,,,,,,,60000 ,,,,,,,,,,,400 ,,8000 ,,44000 ,,,,,,4000 ,532000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000 ,,68000 ,,,,,1200 ,,36000 ,,,200000 ,,92000 ,,,,16000 ,,,,,,24000 ,,,,,,,,44000 ,52000 ,,,,,,12000 ,,,,,,,,,,24000 ,,,,
1918 ,6 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,6 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,7 ,3 ,,,,,,,,,,,,,,,5000 ,,,,,,,,,,,,,,,,,,,,5000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 ,,,,,,,20000 ,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,18000 ,,,,,,,,,,8000 ,,,,,,,,5000 ,500 ,,,,,,,,,,,,,,,,1000 ,,,,
1918 ,7 ,11 ,,,,,,,,,1000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 ,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 ,,34000 ,,,,,,,,1000 ,,300 ,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,
1918 ,7 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,7 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,8 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,8 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,8 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,8 ,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,8 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,9 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,9 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,9 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,9 ,26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,10 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,10 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,10 ,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,10 ,24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,10 ,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,11 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,11 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,11 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 ,11 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
